Island name,Human_density,Surface,Elevation,distanceMain,EVI,Temperature,Precipitations,Perimeter depth ,Connectivity,Radiality,Lizard richness,Snake_presence,Acanthodactylus schreiberi,Algyroides fitzingeri,Archaeolacerta bedriagae,Euleptes europaea,Mediodactylus bartoni,Mediodactylus oertzeni,Phoenicolacerta troodica,Podarcis lilfordi,Podarcis pityusensis,Podarcis latastei,Podarcis raffonei,Podarcis tiliguerta,Podarcis waglerianus,Podarcis filfolensis,Podarcis cretensis,Podarcis gaigae,Podarcis levendis,Podarcis milensis,Lacerta citrovittata,Ablepharus budaki,Ablepharus kitaibelii,Anatololacerta pelasgiana,Anguis graeca,Anguis veronensis,Blanus strauchi,Chalcides chalcides,Chalcides ocellatus,Chamaeleo chamaeleon,Eumeces schneiderii,Hemidactylus turcicus,Heremites auratus,Heremites vittatus,Lacerta bilineata,Lacerta diplochondrodes,Lacerta trilineata,Lacerta viridis,Mediodactylus kotschyi,Mediodactylus orientalis,Ophiomorus punctatissimus,Ophisops elegans,Podarcis erhardii,Podarcis muralis,Podarcis siculus,Psammodromus algirus,Pseudopus apodus,Scelarcis perspicillata,Stellagama stellio,Tarentola mauritanica,Timon lepidus,Timon pater
Dau Gran,0,0.0012,12,107384.6,0.019,17.6958,421,14.51,-0.323 ,0.351 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hort,0,0.003125,15.8,87673.34,0.05,17.6958,402,-50.73,-0.323 ,0.356 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malvi Petit,0,0.0058,20,106676.98,0.158,17.6458,426,17.23,-0.323 ,0.352 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malvi Gran,0,0.0066,21,105969.52,0.137,17.6458,426,11.01,0.323 ,0.353 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sal Rosa,0,0.00875,4.8,103329.12,0.094,17.8583,425,8.36,-0.323 ,0.356 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porroig,0,0.0062,14.5,94415.15,0.059,17.8792,416,22.63,-0.323 ,0.357 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vedranell,0,0.19,117,86151.15,0.141,17.575,391,-51.89,0.000 ,0.355 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es Vedrà,0,0.72,413,84308.27,0.208,17.575,391,-58.99,-0.323 ,0.354 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caragoler,0,0.0025,5.7,102993.4,0.145,17.9125,410,-24.66,0.000 ,0.356 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Es Penjats,0,0.0625,22,103865.12,0.209,17.9125,410,-38.51,0.323 ,0.353 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Negra Grossa,0,0.013,8,102338.03,0.169,17.9125,410,-37.18,-0.323 ,0.352 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Porcs,0,0.0125,4,104545.11,0.126,17.8167,405,-47.62,-0.323 ,0.348 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espardell,0,0.56,28,107988.91,0.288,17.5708,492,-65.93,-0.323 ,0.339 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torreta,0,0.05375,5.5,103906.16,0.156,17.8167,405,-47.34,-0.323 ,0.348 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S'Espalmador,0,1.45,22,103306.46,0.262,17.7458,405,-48.92,1.291 ,0.349 ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastabi,0,0.0125,4.5,103873.48,0.144,17.8583,403,-48.03,-0.323 ,0.347 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pouet,0,0.01125,7.2,104490.46,0.134,17.8125,403,-53,-0.323 ,0.348 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redona (des Conills),0,0.005,9.5,104681.41,0.143,17.8125,403,-53.45,-0.323 ,0.347 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formentera,145.5,83,119,99994.02,0.362,17.72,415.17,-174.86,0.323 ,0.348 ,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Psathoura,0,0.83,13,53017,0.408,17.3167,454,-248.6,-0.735 ,0.295 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Gioura,0,11.05,570,60155,0.276,14.9833,481,-262.95,1.061 ,0.362 ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Piperi,0,4.4,324,85503,0.29,16.6792,435,-284.04,-0.735 ,0.244 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyra Panagia,0,25,299,61682,0.429,16.5708,443,-359.08,1.061 ,0.400 ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Melissa,0,0.17,44,60786,0.403,17.2625,422,-408.38,-0.735 ,0.397 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lechousa,0,0.51,105,55908,0.312,17.3625,424,-209.01,-0.735 ,0.437 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alonissos,21,64.5,476,41514,0.427,16.1958,467,-518.79,1.960 ,0.462 ,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Manolas,0,0.09,41,44213,0.273,17.2167,432,-446.69,-0.735 ,0.460 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Aspronisi,0,0.18,70,14617,0.403,17.8083,449,-255.33,-0.503 ,0.366 ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Skiathos,130,49.9,433,4078,0.464,16.7458,471,-474.88,2.728 ,0.369 ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkos,0,0.4,84,14640,0.365,17.5417,450,-207.23,-0.503 ,0.362 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Maragós,0,0.08,57,13301,0.386,17.6375,453,-204.18,-0.503 ,0.365 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Repi,0,0.05,23,15799,0.219,17.5417,450,-215.67,-0.503 ,0.350 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Kasida,0,0.002594,6,23551,0.051,16.6417,453,-316.56,-0.503 ,0.410 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adelfopoulo,0,0.37,127,55101,0.295,17.5375,428,-128.03,-0.735 ,0.527 ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsougkriaki,0,0.09,52,12670,0.363,17.6792,455,-264.29,0.144 ,0.357 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tsougkrias,0,1.2,83,13980,0.414,17.6583,460,-279.56,-0.503 ,0.348 ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skopelos,52,96.3,681,20969,0.493,15.7042,498,-619.93,0.144 ,0.430 ,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Adelphi,0,1.09,162,55164,0.353,17.2417,434,-131.44,1.061 ,0.529 ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Skantzoura,0,6.6,93,65770,0.389,17.2083,423,-314.04,-0.735 ,0.602 ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vório Pódhi,0,0.11,18,93455,0.298,17.4375,418,-225.52,-0.335 ,0.786 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesa Podia,0,0.1,36,91664,0.264,17.4375,418,-227.75,0.056 ,0.803 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exo Podies,0,0.01,1,90932,0.235,17.4375,418,-193.03,0.056 ,0.810 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalógria,0,0.09,10,84299,0.355,17.2833,394,-116.23,-0.335 ,0.817 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atsitsa,0,0.04,15,82346,0.333,17,404,-111.6,-0.335 ,0.818 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skyros,13,209.5,792,75062,0.316,15.6667,458,-498.12,3.572 ,0.819 ,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Áyios Fokás,0,0.004407,1,78024,0.16,17.1125,399,-68.45,-0.335 ,0.813 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakkonísi,0,0.02,1,77277,0.284,17.1917,396,-59.8200,-0.335 ,0.813 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Skiropoula,0,4.11,154,70302,0.37,17.1417,407,-270.33,-0.335 ,0.757 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rinia Skirou,0,0.57,26,73036,0.327,17.5042,393,-189.89,-0.335 ,0.777 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valaxa,0,4.76,192,73844,0.329,16.9167,409,-70.81,-0.335 ,0.818 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mésa Diavátis,0,0.04,10,76095,0.329,17.2542,392,-113.55,-0.335 ,0.816 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Éxo Dhiavátis,0,0.02,5,74309,0.208,17.1542,397,-117.32,-0.335 ,0.806 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarakino,0,3.41,120,75545,0.344,16.7833,400,-382.96,-0.335 ,0.814 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prassouda,0,0.07,20,49417,0.277,17.2583,422,-315.93,-0.906 ,0.921 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Euboea,54,3684,1743,161,0.372,15.4728,510,-148.02,0.139 ,1.000 ,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Andros,24,374,997,56474,0.446,16.40897887,463,-311.21,-0.845 ,0.993 ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Spanopoula,0,0.01,5,26591,0.231,17.4958,392,-79.14,-0.906 ,0.887 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tinos ,44,194.46,750,78603,0.502,16.95794134,458,-220.79,0.169 ,0.993 ,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Kea,16,128.9,560,19706,0.467,16.4042,456,-257.63,0.139 ,0.888 ,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gyaros,0,17.57,489,56812,0.323,16.8417,415,-209.06,-0.482 ,0.649 ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Mykonos,120,85.5,341,112696,0.442,17.85,430,-249.63,2.197 ,0.993 ,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Tragonisi,0,1.5,144,110324,0.209,18.025,437,-179.03,-0.845 ,0.978 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Syros,210,84.07,442,74428,0.472,18.10458986,403,-155.69,3.056 ,0.795 ,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Gaidaros,0,0.5,37,83973,0.303,18.9958,382,-80.96,0.107 ,0.783 ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Mikro Gaidaros,0,0.05,41,86240,0.449,18.9958,382,-80.96,-0.482 ,0.781 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rineia,0,13.9,136,105049,0.459,17.8917,402,-72.93,0.107 ,0.948 ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Ktapodia,0,0.44,102,111369,0.197,18.2417,477,-184.82,-0.845 ,0.900 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kithnos,15,99.43,336,38196,0.505,17.575,407,-253.66,-0.482 ,0.884 ,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Dilos,4,3.43,112,110718,0.463,18.1083,402,-62.16,0.107 ,0.942 ,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Aspronisi,0,0.11,40,87244,0.396,18.9708,397,-52.85,-0.482 ,0.778 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Schinonisi,0,0.05,20,78530,0.406,18.2417,379,-94.29,-0.482 ,0.792 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Stroggilo(Syros),0,0.03,28,78801,0.279,18.0917,383,-95.11,-0.482 ,0.791 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chersóniso,0,0.05,12,111285,0.079,18.2875,394,-72.53,-0.482 ,0.942 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ktenia,0,0.048,1,107270,0.119,18.3666,513,-278.62,-0.845 ,0.761 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gaidouronisi,0,0.14,33,110422,0.377,18.2,392,-40.26,-0.462 ,0.920 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Evriokastro,0,0.13,42,112256,0.359,18.2625,393,-40.26,-0.462 ,0.916 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Vous,0,0.16,79,73414,0.304,18.0292,389,-193.27,-0.809 ,0.847 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Serifos,19,75.21,585,63537,0.46,16.7125,455,-288.14,0.135 ,0.864 ,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Donousa,12,13.75,385,118740,0.33,17.2708,527,-189.06,1.183 ,0.896 ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Macheres,0,0.86,97,131056,0.269,18.3958,467,-98.36,-0.845 ,0.820 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Spyrídonos,0,0.01,6,112494,0.153,18.1792,387,30.44,-0.462 ,0.908 ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
