Presence_absence,TreeHigh,DBH,Canopy,BamboAbun,TreeSpeciesRichness
1,12.5,225,38,4.5805757,3
1,15.83,268,38,7.14037144,4.242640687
1,21.2,301,63,6.319134386,2.5
1,14.25,135,38,8.066313432,2.309401077
1,16.33,317,38,11.74555524,4.242640687
1,17.5,330,63,6.105842959,3
1,16.33333,215,63,2.775781252,4.242640687
1,19.166,432,63,7.612919843,4.242640687
1,20,172,38,8.697644787,2.121320344
1,21,262,12.5,8.856513223,2.828427125
1,19,249,38,19.80639405,3.535533906
1,20.2,290,63,6.250580524,3.535533906
1,12.42,245,63,5.560395657,3.5
1,20.33,403,63,12.79891153,4.242640687
1,11.85,363,63,17.58260559,4.949747468
1,20,535,38,3.993090361,5.656854249
1,28,340,63,15.19778866,5
1,16.5,214,38,18.03820561,2.828427125
1,13.875,344,63,4.68845692,4.618802154
1,14.14,221,63,2.775781252,4.041451884
1,23.16,355,38,10.05199057,3.464101615
1,28.2,404,38,23.16870899,2.886751346
1,17.4,295,38,8.278942494,2.886751346
1,15.5,265,38,14.49786162,2.828427125
1,15,348,38,13.60135959,4.041451884
1,23.8,303,38,20.73971622,2.886751346
1,16.5,308,38,11.25041918,2.828427125
1,13.8,230,63,11.74555524,2.886751346
1,24.75,294,38,22.91438724,2.828427125
1,19.8,355,38,0,0
1,19.8,355,38,10.25327772,2.886751346
1,9.4,214,38,13.2725047,3.535533906
1,7,60,38,0,3
1,16.2,244,38,8.062067788,3.535533906
1,20.5,236,38,7.400453347,2.828427125
1,20.5,304,38,8.902796188,4
1,20.5,312,38,11.88379678,4
1,24.83,426,63,1.526858567,4.242640687
1,11,440,63,6.241955969,1.732050808
1,17.667,1040,63,40.86469795,1.732050808
1,17.5,380,63,16.54849544,1.414213562
1,10,240,63,36.5495792,1.414213562
1,10,100,63,32.12959196,1
1,19,890,63,19.07914235,1.732050808
1,11.33,230,63,27.71037726,1.732050808
1,5.5,100,38,6.15595988,1.414213562
1,15.5,370,50.5,0,1.414213562
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,9,348,63,0,1.732050808
1,5.333,530,63,0,1.732050808
1,22.5,700,63,33.28782533,1.414213562
1,25,400,63,19.19433422,1
1,12.667,540,63,10.59253113,1.732050808
1,6.333,160,38,8.697644787,1.732050808
1,12,541,63,14.98703543,2.309401077
1,11.4,662,63,0.699131473,2.236067977
1,10.6667,462,63,5.750898959,3
1,11.6,664,63,0.486582704,2.236067977
1,10.4,506,63,0.486582704,2.236067977
1,11,491,63,16.25532728,2
1,14,488,63,0,0
1,15.6,491,63,0,2.886751346
1,16.6667,239,63,0.921193219,2.121320344
1,14,395,63,0,0
1,13.6667,399,63,12.82267225,2.683281573
1,12.333,339,63,10.97087709,1.732050808
1,13.25,514,63,54.06552185,2
1,12.16667,790,63,44.98351374,2.449489743
1,13.6,547,63,13.94533582,2.236067977
1,11.857,621,63,0,0
1,11.5,401,63,1.579783597,2
1,11.333,232,63,128.1382164,2.121320344
1,8.75,473,63,47.4439232,2
1,15,150,63,39.49458992,1.732050808
1,13.5,486,63,24.32913518,2.309401077
1,16,255,63,10.21438681,1.732050808
1,20.5,288,63,0,1.414213562
1,11,396,63,5.170087702,2.828427125
1,11,459,63,1.215129546,2.886751346
1,9.75,362,63,1.579783597,2
1,13.5,532,63,0,2
1,12.1666,742,63,0.486582704,2.449489743
1,12.8,1145,63,6.597002734,3.16227766
1,11.4,565,63,0,2.236067977
1,10.8,209,63,1.579783597,2.5
1,20.667,72,63,5.5341668,1.732050808
1,9,37.5,38,3.892661628,1
1,7.6667,135.3,38,6.105842959,1.732050808
1,11,114,38,3.633502272,1.732050808
1,11.16667,178,63,5.864007388,1.732050808
1,14.6667,125,63,0,1.732050808
1,0,0,0,0,0
1,12.333,165,38,13.52098211,1.732050808
1,11,155,38,12.5344661,1.732050808
1,11.6667,110,38,9.468367866,1.732050808
1,9.6667,143,38,16.96084126,1.732050808
1,21.333,340,38,3.394023041,1.732050808
1,25,310,38,3.303955255,1.414213562
1,25,220,38,3.303955255,1.414213562
1,19.6667,455,38,3.436559216,1.732050808
1,28.333,350,38,2.189751149,1.732050808
1,25,300,63,3.303955255,1.414213562
1,20,200,38,3.303955255,1.414213562
1,19,220,12.5,3.555720219,1.414213562
1,18,100,12.5,4.250337019,1
1,15,400,38,1.452001078,1.414213562
1,19,290,63,2.843610474,0
1,19.5,300,38,3.349872173,1.414213562
1,18,390,38,3.04058193,1.732050808
1,0,0,0,4.754808901,0
1,20,240,38,3.394023041,1.414213562
1,25,250,38,3.592967163,1.414213562
1,20,240,38,3.394023041,1.414213562
1,22.5,260,38,3.394023041,1.414213562
1,11,170,38,4.835085392,1.414213562
1,15.5,200,38,2.325956756,1.414213562
1,20,200,38,3.764142386,1
1,17,340,38,3.764142386,1.414213562
1,19,300,63,4.613974973,1.414213562
1,16,340,38,2.250541171,1.414213562
1,21,310,38,3.303955255,1.732050808
1,19.33,460,38,3.098650361,1.732050808
1,25,340,38,2.843610474,1.414213562
1,19.33,520,38,3.303955255,1.732050808
1,20,120,12.5,3.349872173,1
1,16,280,38,3.394023041,1.414213562
1,12.5,230,38,2.843610474,1.414213562
1,16.333,300,63,2.356612555,1.732050808
1,16.333,300,63,3.394023041,1.732050808
1,11,350,38,3.394023041,1.414213562
1,17.5,200,38,0,1.414213562
1,24.333,480,38,3.303955255,1.732050808
1,17.5,200,38,2.495963437,1.414213562
1,18,180,38,3.303955255,1.414213562
1,20,230,38,2.843610474,1.414213562
1,10.33,220.25,38,2.843610474,1.732050808
1,17.5,270,38,6.107608241,1.414213562
1,10,110,63,0,1
1,0,0,0,3.592967163,0
1,12.5,190,63,5.507061362,1.414213562
1,10.5,260,38,3.394023041,1.732050808
1,17.5,260,38,3.303955255,1.414213562
1,14.333,410,38,3.394023041,1.732050808
1,11,190,38,3.764142386,1.414213562
1,24,320,38,3.303955255,1.414213562
1,14.6777,300,63,3.592967163,1.732050808
1,17.6667,300,38,3.394023041,1.732050808
1,10.667,390,38,3.394023041,1.732050808
1,11.6667,320,38,2.979085037,1.732050808
1,17.5,280,38,3.865721417,1.414213562
1,13.333,300,38,3.153707145,1.732050808
1,16,270,63,3.153707145,1.732050808
1,14.6667,480,63,3.303955255,1.732050808
1,13,320,38,3.394023041,1.732050808
1,17.6667,480,63,3.865721417,1.732050808
1,21.5,320,38,2.294074713,1.414213562
1,20.5,280,38,3.303955255,1.414213562
1,21.333,297,38,3.436559216,1.732050808
1,23,230,38,3.865721417,1.414213562
1,10,221,38,3.394023041,1.732050808
1,17.6667,381,38,4.288426087,1.732050808
1,21.6667,590,38,2.068503695,1.732050808
1,0,0,0,5.118498853,0
1,19.333,548,38,3.303955255,1.732050808
1,15,320,38,2.686158551,1.414213562
1,25,200,38,3.394023041,1.414213562
1,16,180,12.5,3.20609454,1
1,19.6667,365,38,3.098650361,1.732050808
1,27.5,370,38,3.731707544,1.414213562
1,16.5,180,38,3.349872173,1.414213562
1,19,430,38,4.613974973,1.732050808
1,5.125,525,38,6.109241474,5.656854249
1,4.5,379,12.5,5.82986338,2.828427125
1,7.5,507,63,3.914169233,6
1,0,0,0,6.341122217,0
1,8,280,12.5,7.011001322,2.121320344
1,4.6667,653,38,6.109241474,6
1,11.5,806,38,6.775456295,5.656854249
1,8.45,787,38,6.109241474,7.778174593
1,15,350,63,0,1
1,6.5,230,63,0,1.414213562
1,20,950,63,5.118498853,2
1,19.5,490,63,6.109241474,1.414213562
1,10,310,63,0,1.414213562
1,13.33,560,63,3.79578177,1.732050808
1,10.667,450,63,0,1.732050808
1,10.33,450,63,4.673049689,1.732050808
1,10.38,355,63,6.655392028,7.505553499
1,13.4,229,63,6.387212965,7.071067812
1,7,71,50.5,3.119493787,2.828427125
1,12,121,63,0,2.828427125
1,7.91,132,37.75,8.459904431,3
1,7.625,145,38,8.459904431,5.656854249
1,6.75,60,12.5,0,2.828427125
1,8.2,87,47.375,7.427620221,5
1,7,90,38,0,2
1,7,226,38,8.459904431,5.773502692
1,1.75,70,63,9.643547039,2
1,11,26,12.5,8.305154952,1
1,5.6667,68,38,9.452292883,2.121320344
1,5.333,285,33.8,8.746744886,4.242640687
1,4.75,121,38,4.287279627,2.828427125
1,6.16,75,33.8,8.305154952,3.464101615
1,4.5,15.75,44.3,8.305154952,2.309401077
1,6.33,38,47.5,8.975082509,3
1,8.75,70,50.5,8.305154952,2.828427125
1,7.2,98,32.9,8.975082509,2.886751346
1,6.4,65,40.4,8.975082509,5
1,10.4,109,53,0,5
1,9,154,38,8.975082509,4.949747468
1,11,44,63,4.754808901,2
1,7.667,150,54.6,5.138351115,4.242640687
1,13.667,173,63,7.582379693,3
1,8.75,144,63,0,2.828427125
1,26.25,444,38,3.815005958,2.828427125
1,30,210,38,50.42499311,2.121320344
1,31.33,345,12.5,5.82986338,2.121320344
1,24,448,63,5.67515527,2.828427125
1,29.75,397,38,6.773644958,2
1,25.5,650,38,5.888524965,3
1,23,479,63,5.626253622,2.236067977
1,23.5,82,12.5,3.592967163,2
1,18,38,12.5,5.160142368,18
1,29,210,12.5,4.83379279,2
1,25,158,38,3.664252678,2.121320344
1,26.67,159,12.5,4.613974973,3
1,27,49,12.5,4.358497214,1
1,25,113,12.5,5.22276279,2
1,19,38,12.5,2.956947821,1
1,19,113,38,1.974438023,2.828427125
1,24.83,397,38,4.358497214,4.242640687
1,25.25,341,38,4.93357619,2.828427125
1,27.33,488,38,3.764142386,6
1,30.2,544,38,4.173507334,5
1,27.75,303,38,4.633109029,2.828427125
1,7.9,87.7,38,0,2.121320344
1,10.86,177.4,38,0,3.535533906
1,6.7,31.2,12.5,0,1
1,11.3,31.2,12.5,1.865112549,1
1,8.3,31.7,12.5,2.325956756,1
1,7.3,34.7,12.5,2.386147206,1
1,9.3,34.2,12.5,3.517298899,1
1,3.54,3464,12.5,0,35
1,0,0,0,0,0
1,10.75,755,63,2.898616104,5.656854249
1,10.3,1258,63,2.898616104,6.5
1,10.6923,1520,63,5.20213303,7.505553499
1,10,1020,63,2.494747803,5.773502692
1,7.6,770,38,4.126455678,5
1,9.6,945,38,3.915215919,5
1,10.57,750,38,2.356612555,4.041451884
1,10.18,1055,38,4.050974108,6.350852961
1,9.5,975,63,2.613601941,6.92820323
1,8.63,973,63,4.394043415,5.5
1,8.23,1075,63,2.494747803,6.5
1,9.78,780,38,3.915215919,6.363961031
1,9.54,1047,63,3.036711232,5.5
1,7.69,563,50.5,5.676672861,5.656854249
1,7.33,353,29.5,0,3.464101615
1,6.4,203,38,0,5
1,6.8,250,21,3.941552068,2.886751346
1,6.63,386,37.75,5.676672861,5.656854249
1,6.5,398,63,0,5.656854249
1,7.28,396,63,6.109241474,4.949747468
1,7,419,63,6.109241474,5.656854249
1,6.86,369,63,6.109241474,4.949747468
1,6.5,382,63,6.109241474,8
1,6.25,390,63,6.109241474,5.656854249
1,7,332,63,6.117024605,3.464101615
1,8,69,63,6.109241474,1
1,14.5,136,12.5,2.776171664,2.309401077
1,20.8,175,25.25,2.776171664,3.535533906
1,17.75,139,12.5,2.544244326,2.828427125
1,15.75,96,12.5,2.414652292,2.828427125
1,7.5,500,63,5.396260582,1.414213562
1,11.5,472,63,4.86565886,1.414213562
1,22,312,63,4.198111385,1
1,7,160,63,4.050974108,1
1,13,512,63,0,1.414213562
1,7,160,63,3.20609454,1
1,12,320,63,3.592967163,1
1,17.6,480,63,3.88635134,1.414213562
1,13.5,353,63,0,1.414213562
1,12,260,63,3.764142386,1
1,13,500,63,3.394023041,1.414213562
1,12,500,63,5.118498853,1.414213562
1,10.5,450,63,0,1.414213562
1,17,530,63,4.288426087,1.414213562
1,17.4,492,12.5,7.129670725,5.773502692
1,14.4,476,12.5,7.582379693,5.773502692
1,23.375,390,12.5,0,5.656854249
1,16.82,330,12.5,5.362353067,4.949747468
1,16.11,362,12.5,6.958298551,5.196152423
1,17.8,567,12.5,7.717103329,5.773502692
1,13.3,349,38,6.465611927,5.773502692
1,17.4,492,12.5,7.129670725,5.773502692
1,14.4,476,12.5,7.582379693,5.773502692
1,23.375,390,12.5,0,5.656854249
1,16.48,330,12.5,5.362353067,4.949747468
1,16.1,362,12.53,6.958298551,5.196152423
1,17.8,567,12.5,7.717103329,5.773502692
1,13.3,349,38,6.465611927,5.773502692
1,19.5,587,12.5,5.118498853,5.773502692
1,17,472,63,5.362353067,5.196152423
1,20.125,484,38,7.366166316,5.656854249
1,15.33,308,63,7.366166316,6.363961031
1,22.714,751,3,5.947119459,9.899494937
1,17.71,321,12.5,6.107608241,4.949747468
1,20.1,594,12.5,6.233686861,5.773502692
1,15.45,507,38,2.718498631,6.350852961
1,17.67,471,38,3.723306651,5.196152423
1,12.5,337,12.5,5.947119459,4.618802154
1,14,375,12.5,3.357202589,4.5
1,15.33,278,12.5,4.835085392,4.242640687
1,17.6,250,12.5,5.82986338,3.535533906
1,12.6,189,38,2.718498631,3.535533906
1,17.6,235,38,6.958298551,3.535533906
1,14.87,329,50.5,5.118498853,4.618802154
1,15.5,410,63,5.973443934,4
1,12.25,149,38,11.61159871,2.828427125
1,13.2,187,38,13.3855108,2.5
1,24.64,361,38,0,14
1,20.27,640,38,0,22
1,21,292,12.5,0,8
1,14.72,314,12.5,0,7.778174593
1,25.56,846,63,0,9.237604307
1,25,300,12.5,0,3
1,24,400,38,0,0
1,18.4,727,63,0,11.54700538
1,19.44,396,12.5,0,6.363961031
1,13,305,12.5,0,8
1,15.22,157,12.5,0,6.363961031
1,31.87,423,12.5,0,5.656854249
1,25.93,678,38,0,11.3137085
1,26.87,606,38,0,11.3137085
1,23.81,434,12.5,0,7.778174593
1,29.71,635,12.5,0,9.899494937
1,15,564,38,0,8.660254038
1,29,265,38,0,2.886751346
1,28.33,201,38,0,4.242640687
1,19.6,236,38,0,4.618802154
1,23.57,231,12.5,0,4.041451884
1,35,266,12.5,0,3.535533906
1,24.28,250,12.5,0,4.949747468
1,30.5,282,12.5,0,7.071067812
1,34.28,265,12.5,0,4.949747468
1,26.66,374,12.5,0,4.242640687
1,25,225,12.5,0,5
1,21,72,12.5,0,2.309401077
1,22.5,86,12.5,0,2.828427125
1,32.66,272,12.5,0,4.242640687
1,22.16,195,12.5,0,2.886751346
1,27,341,12.5,0,4.949747468
1,27.5,150,12.5,0,2.828427125
1,34.5,554,38,0,8.485281374
1,31.66,268,12.5,0,4.242640687
1,34.42,445,12.5,0,4.041451884
1,26.8,241,12.5,0,5
1,23.62,266,12.5,0,8
1,27.4,223,12.5,0,3.535533906
1,21,265,12.5,0,3.535533906
1,26,540,12.5,0,6.363961031
1,27.42,48.57,12.5,0,4.949747468
1,12.55,1380,38,3.290730039,9
1,7.33,1110,38,5.558235546,6.363961031
1,12.33,1336,38,10.76942623,6.363961031
1,8.88,1267,38,24.42831534,6.363961031
1,13.22,1240,38,9.801566694,9
1,28,117,12.5,13.16522387,2.309401077
1,23.75,255,12.5,2.193820026,2.828427125
1,32,114,12.5,6.659921479,2
1,25,58,12.5,0,1
1,0,0,0,5.750898959,0
1,22.5,115,12.5,9.002164685,1.414213562
1,11.66,124,38,5.600779746,3
1,12.66,109,38,0,3
1,14.3,118,50.5,11.82046199,2.121320344
1,15.5,112,75.5,0,1.414213562
1,15.5,379,29.33,4.5805757,4.242640687
1,3,62,12.5,8.903319174,2
1,16,270,63,8.497648104,4
1,11.83,254,18.87,6.250580524,3
1,15.12,344,50.5,8.497648104,5.656854249
1,14.2,199,25.25,6.299437081,3.535533906
1,12.4,153,38,7.617540123,5
1,18.33,154,38,8.155431658,2.121320344
1,14.16,257,38,9.610009194,4.242640687
1,14.25,200,63,4.238813747,2.828427125
1,12.5,280,38,8.329565101,4.242640687
1,16.2,276,38,4.793683921,3.535533906
1,13.42,337,50.5,9.166703505,7
1,15.25,170,50.5,9.505175046,2.828427125
1,13.33,168,12.5,9.003419593,3
1,13.33,147,38,6.273570644,2.121320344
1,17,99,50.5,10.6953482,2
1,12,196,12.5,0,2.121320344
1,15.66,217,38,13.42702404,3
1,15,50.5,12.5,13.89149914,2
1,14.03,604.6,88,8.944122582,4.618802154
1,16.82,690.4,38,16.54044336,0
1,18.1,779,88,14.6339183,4.041451884
1,19.33,710.5,63,13.18046944,3.464101615
1,16.1,767,88,8.554297808,4.949747468
1,14.43,518.7,88,4.585477156,4.242640687
1,13.12,513.4,63,7.593440094,4.041451884
1,13.85,457.2,88,15.24792898,4.242640687
1,13.47,578.5,88,15.97147521,4.618802154
1,13.25,437.8,63,7.698176348,3.464101615
1,16.53,770.3,88,6.586239429,4.618802154
1,15.24,440.6,63,9.424947614,3.535533906
1,16.25,659,63,9.255301783,5.656854249
1,16.15,461.1,63,7.879925887,4.949747468
1,13.2,76.2,63,7.458488226,6
1,0,0,0,47.71121608,0
1,15.03,645.4,88,30.02518519,5.656854249
1,21.21,1210,88,14.4928586,6.363961031
1,13.98,696.1,88,21.9302615,7.071067812
1,21.16,658.1,88,32.57666922,6
1,22.56,956.1,63,38.70457997,8
1,12.86,359.8,63,30.65836262,3.535533906
1,14.12,358.7,63,33.05156506,3.535533906
1,13.47,532.9,88,9.306295741,7
1,12.83,393.6,63,7.82707949,4.242640687
1,13.73,896.5,63,6.279294758,9.192388155
1,14.72,467.1,63,7.879925887,4.949747468
1,17.41,697.4,88,9.168324276,7
1,18.05,683.7,88,11.23493167,6
1,18.18,925.6,88,12.49566284,7
1,16.06,111.2,88,9.168324276,6
1,13.63,642.7,88,25.34870643,8
1,14.18,581,88,32.61316011,8
1,13.32,523.9,88,17.26273853,7
1,13.3,481,88,25.42882091,7
1,13.88,527.6,88,43.21012553,7
1,14.38,510.7,88,36.56088731,7
1,13.62,517,63,0,7
1,13.52,79.68,63,0,5
1,14.21,506,63,31.95502575,4.242640687
1,16.43,551.4,63,38.19952852,4.242640687
1,15.6,366.3,63,33.14397828,2.828427125
1,14.07,298.3,63,27.50673841,2.828427125
1,15.45,823.3,63,21.16100901,6.363961031
1,17.18,527.8,63,0,3.535533906
1,16.12,397.9,63,14.43167198,5
1,14.04,351.2,63,22.33809404,5
1,14.4,375.2,38,13.56743138,5
1,16.1,366.9,38,14.34242881,5
1,14.2,310.9,38,28.33110514,4
1,15,237,38,41.15235183,3
1,15.34,394.5,38,24.35048817,5
1,15.02,416.2,38,15.85259887,5
1,14.4,383.4,38,15.85259887,5
1,13.48,470.4,63,17.95442322,6
1,14.4,376.8,63,15.39841157,2.828427125
1,14.03,397.3,63,19.99565931,6
1,13.97,567.5,88,22.75825086,4.949747468
1,14.71,468.8,8,14.01152236,4.242640687
1,15.98,542.2,63,18.77151461,4.242640687
1,18.02,432.5,88,23.96466059,2.828427125
1,17.76,101.52,63,17.45040328,3.535533906
1,18.06,549.7,88,23.47481758,4.242640687
1,17.65,723.9,88,20.14318362,4.242640687
1,13.83,449.7,88,17.07445471,6
1,15.38,731.6,88,20.24091323,5.656854249
1,14.67,633.7,88,21.07714385,7
1,11.98,456.8,88,26.0706116,4.949747468
1,13.43,402.5,88,26.5222441,4.242640687
1,12.33,491,88,35.3774248,6
1,14.87,632.4,88,12.01717697,4.949747468
1,14.08,448.1,63,31.20834458,3.535533906
1,14.41,660.7,88,37.65611485,4.949747468
1,13.71,528.2,88,30.82798038,4.242640687
1,15.02,371.3,63,29.48529296,5
1,13.81,449,63,24.00358874,6
1,13.25,455.4,63,16.89888976,6
1,14.55,410.9,63,22.33805028,6
1,16.23,436.9,63,30.05229428,6
1,15.48,380,63,22.79974097,5
1,12.38,446.3,63,11.73871757,5
1,13.45,285,63,28.30783689,4
1,13,449,88,29.88336313,6
1,10.51,590.5,63,14.47251376,4.949747468
1,12.05,562.1,63,14.59383506,5.656854249
1,13.17,305.4,38,15.4881288,4
1,11.72,302.4,38,14.4928586,4
1,11.86,353.7,38,0,3.535533906
1,11.25,444.7,38,16.28300529,4.242640687
1,11.41,494.1,63,14.6538339,4.949747468
1,11.35,677.4,63,14.4928586,4.242640687
1,10.74,569.9,63,14.8896028,4.041451884
1,9.47,785.7,63,11.93717925,4.618802154
1,10.17,275.8,38,4.515810864,2.309401077
1,12.44,396.6,38,29.90689174,5
1,12.08,406.2,63,26.0557578,5
1,13.22,510.2,88,24.6015414,3.535533906
1,11.66,454.2,88,32.7963701,8
1,16.28,793.1,88,39.72377247,6
1,18.68,785.5,63,47.78410872,4.242640687
1,14.18,626.3,63,69.7082465,4.949747468
1,13.11,557.6,63,37.56382641,4.949747468
1,14.68,745.8,88,37.56382641,9
1,14.62,905.4,88,37.56382641,8
1,15.32,805.1,88,29.10399366,8
1,14.75,420.7,38,25.0115638,4
1,13.73,707.1,63,29.99224848,5.656854249
1,13.23,598.8,63,7.73146408,8
1,14.48,703.2,63,23.20961408,8
1,15.33,610.5,63,11.91123682,6
1,0,0,0,29.17326141,0
1,0,0,0,15.65666674,0
1,14.53,267.7,38,14.92826227,3
1,13.36,403.8,38,22.43847548,5
1,14.47,300.4,38,11.73871757,4
1,16.9,353.7,38,31.26229133,4
1,0,0,0,37.05674849,0
1,0,0,0,35.88930433,0
1,17.08,570.9,38,14.22433445,7
1,13.45,616.7,38,17.91061759,4.949747468
1,23.16,764.2,38,22.75825086,4.242640687
1,14.16,397.5,38,19.16186199,5
1,14.55,366.5,38,15.52429535,2.828427125
1,24.02,623.6,38,20.32967866,5
1,13.87,618,88,13.90294411,4.949747468
1,15.08,628.8,63,17.85670356,4.242640687
1,18.06,595.7,63,22.30444266,2.886751346
1,12.63,401.4,63,32.78684735,3.464101615
1,17.35,545.3,63,18.41100936,4.242640687
1,19.26,612.6,63,20.86429683,4.242640687
1,0,0,0,17.3256619,0
1,20.93,714.1,88,19.54436373,4.242640687
1,17.83,545.6,63,23.60016729,4.242640687
1,23.92,617.8,38,25.28345776,5
1,0,0,0,25.85886815,0
1,15.21,523.8,63,21.89562641,4.242640687
1,25.4,851.6,88,17.51223244,4.242640687
1,19.48,603.4,63,15.74678439,3.535533906
1,19.28,567.8,88,23.20961408,4.242640687
1,13.6,204.7,38,32.68406785,3
1,12.95,134.7,12.5,39.45020989,2
1,13.2,67.65,12.5,25.46500151,2
1,11.7,122.4,12.5,19.25838866,2
1,0,0,0,20.41790102,0
1,0,0,0,16.43100947,0
1,0,0,0,2.705980399,0
1,0,0,0,3.281312461,0
1,0,0,0,4.507419604,0
1,0,0,0,3.820803017,0
1,0,0,0,3.25765155,0
1,0,0,0,2.235046879,0
1,0,0,0,2.24369816,0
1,0,0,0,2.907468832,0
1,0,0,0,4.530497727,0
1,0,0,0,3.902846355,0
1,0,0,0,3.468406467,0
1,12.46,358.4,38,21.24162455,5
1,12.82,352.1,38,23.58304543,5
1,12.85,271.3,38,23.26993482,4
1,13.36,225.7,38,16.70787161,3
1,13.26,218.2,38,11.64954182,3
1,13.46,67.86,38,14.19134255,3
1,12.66,229.3,38,11.10138261,3
1,13.05,309.4,38,8.904391064,3
1,13.35,174,38,3.106138596,2
1,13.1,418.7,63,14.41117439,3.535533906
1,14.97,419.4,63,6.604258119,2.828427125
1,17.52,410.7,63,6.352736576,2.828427125
1,19.97,437.2,63,12.87508437,2.828427125
1,14.85,260.9,63,12.03015627,4
1,14.58,422.9,88,0,3.535533906
1,14.55,458.7,88,0,4.242640687
1,13.24,353.5,88,0,3.535533906
1,14.1,417.2,88,0,5
1,13.71,403,88,0,4.242640687
1,11.66,110.5,12.5,1.852745182,0.577350269
1,13.75,168.8,38,1.852745182,2.828427125
1,12,118.1,12.5,2.125331208,2.121320344
1,14,177.4,38,1.698386923,2.309401077
1,14.25,149.2,38,1.526858567,2.828427125
1,14,177.4,38,1.852745182,2.828427125
1,13.8,208.8,38,1.35141912,2.886751346
1,13.66,239,38,3.404795604,3.464101615
1,14.25,149.2,12.5,2.742719273,2.828427125
1,13,169,38,3.060928736,2.309401077
1,13.33,127.4,63,3.060928736,2.121320344
1,26.33,267.05,63,2.527244349,1.732050808
1,29.33,276,12.5,6.15595988,2.121320344
1,35,341,12.5,0,1.732050808
1,26.25,380,88,66.54675401,2.309401077
1,30,900,37.75,0,1.414213562
1,28.33,820,50.5,0,2.121320344
